Hidden1,Hidden2,Hidden3,ACC_10ep,ACC_100ep,ACC_1000ep,ACC_10000ep
5,80,20,0.550724638,0.536231884,0.565217391,0.492753623
10,80,20,0.52173913,0.536231884,0.492753623,0.536231884
20,80,20,0.52173913,0.52173913,0.536231884,0.565217391
40,80,20,0.579710145,0.507246377,0.550724638,0.536231884
80,80,20,0.463768116,0.550724638,0.550724638,0.47826087
5,5,40,0.507246377,0.507246377,0.463768116,0.52173913
10,5,40,0.362318841,0.492753623,0.52173913,0.449275362
20,5,40,0.492753623,0.536231884,0.47826087,0.463768116
40,5,40,0.376811594,0.579710145,0.52173913,0.507246377
80,5,40,0.449275362,0.579710145,0.449275362,0.47826087
5,10,40,0.449275362,0.550724638,0.420289855,0.434782609
10,10,40,0.492753623,0.47826087,0.565217391,0.47826087
20,10,40,0.492753623,0.507246377,0.463768116,0.492753623
40,10,40,0.550724638,0.565217391,0.492753623,0.550724638
80,10,40,0.550724638,0.47826087,0.52173913,0.579710145
5,20,40,0.565217391,0.565217391,0.579710145,0.565217391
10,20,40,0.507246377,0.492753623,0.463768116,0.536231884
20,20,40,0.507246377,0.579710145,0.47826087,0.52173913
40,20,40,0.550724638,0.507246377,0.507246377,0.536231884
80,20,40,0.52173913,0.536231884,0.550724638,0.492753623
5,40,40,0.536231884,0.492753623,0.434782609,0.492753623
10,40,40,0.507246377,0.52173913,0.507246377,0.536231884
20,40,40,0.52173913,0.492753623,0.536231884,0.550724638
40,40,40,0.492753623,0.420289855,0.507246377,0.550724638
80,40,40,0.52173913,0.507246377,0.608695652,0.536231884
5,80,40,0.492753623,0.492753623,0.52173913,0.536231884
10,80,40,0.492753623,0.550724638,0.565217391,0.507246377
20,80,40,0.550724638,0.492753623,0.565217391,0.507246377
40,80,40,0.565217391,0.536231884,0.507246377,0.550724638
80,80,40,0.492753623,0.536231884,0.449275362,0.594202899
5,5,80,0.536231884,0.463768116,0.434782609,0.405797101
10,5,80,0.405797101,0.507246377,0.47826087,0.434782609
20,5,80,0.405797101,0.492753623,0.47826087,0.507246377
40,5,80,0.536231884,0.507246377,0.492753623,0.507246377
80,5,80,0.52173913,0.492753623,0.608695652,0.550724638
5,10,80,0.463768116,0.47826087,0.550724638,0.47826087
10,10,80,0.463768116,0.47826087,0.405797101,0.47826087
20,10,80,0.52173913,0.463768116,0.507246377,0.507246377
40,10,80,0.608695652,0.52173913,0.405797101,0.463768116
80,10,80,0.550724638,0.52173913,0.52173913,0.507246377
5,20,80,0.565217391,0.536231884,0.565217391,0.550724638
10,20,80,0.507246377,0.449275362,0.550724638,0.550724638
20,20,80,0.463768116,0.550724638,0.463768116,0.52173913
40,20,80,0.579710145,0.550724638,0.608695652,0.550724638
80,20,80,0.536231884,0.536231884,0.47826087,0.492753623
5,40,80,0.536231884,0.47826087,0.594202899,0.565217391
10,40,80,0.492753623,0.52173913,0.463768116,0.507246377
20,40,80,0.536231884,0.492753623,0.434782609,0.565217391
40,40,80,0.47826087,0.52173913,0.594202899,0.536231884
80,40,80,0.52173913,0.550724638,0.507246377,0.52173913
5,80,80,0.550724638,0.594202899,0.536231884,0.47826087
10,80,80,0.492753623,0.536231884,0.52173913,0.565217391
20,80,80,0.52173913,0.47826087,0.420289855,0.579710145
40,80,80,0.579710145,0.463768116,0.536231884,0.608695652
80,80,80,0.623188406,0.536231884,0.405797101,0.507246377
