"","Hidden1","Hidden2","Hidden3","MSE_10ep","MSE_100ep","MSE_1000ep","MSE_10000ep"
"218",5,40,80,NA,NA,NA,NA
"219",10,40,80,NA,NA,NA,NA
"220",20,40,80,NA,NA,NA,NA
"221",40,40,80,NA,NA,NA,NA
"222",80,40,80,NA,NA,NA,NA
"223",100,40,80,NA,NA,NA,NA
"224",200,40,80,NA,NA,NA,NA
"225",5,80,80,NA,NA,NA,NA
"226",10,80,80,NA,NA,NA,NA
"227",20,80,80,NA,NA,NA,NA
"228",40,80,80,NA,NA,NA,NA
"229",80,80,80,NA,NA,NA,NA
"230",100,80,80,NA,NA,NA,NA
"231",200,80,80,NA,NA,NA,NA
"232",5,100,80,NA,NA,NA,NA
"233",10,100,80,NA,NA,NA,NA
"234",20,100,80,NA,NA,NA,NA
"235",40,100,80,NA,NA,NA,NA
"236",80,100,80,NA,NA,NA,NA
"237",100,100,80,NA,NA,NA,NA
"238",200,100,80,NA,NA,NA,NA
"239",5,200,80,NA,NA,NA,NA
"240",10,200,80,NA,NA,NA,NA
"241",20,200,80,NA,NA,NA,NA
"242",40,200,80,NA,NA,NA,NA
"243",80,200,80,NA,NA,NA,NA
"244",100,200,80,NA,NA,NA,NA
"245",200,200,80,NA,NA,NA,NA
"246",5,5,100,NA,NA,NA,NA
"247",10,5,100,NA,NA,NA,NA
"248",20,5,100,NA,NA,NA,NA
"249",40,5,100,NA,NA,NA,NA
"250",80,5,100,NA,NA,NA,NA
"251",100,5,100,NA,NA,NA,NA
"252",200,5,100,NA,NA,NA,NA
"253",5,10,100,NA,NA,NA,NA
"254",10,10,100,NA,NA,NA,NA
"255",20,10,100,NA,NA,NA,NA
"256",40,10,100,NA,NA,NA,NA
"257",80,10,100,NA,NA,NA,NA
"258",100,10,100,NA,NA,NA,NA
"259",200,10,100,NA,NA,NA,NA
"260",5,20,100,NA,NA,NA,NA
"261",10,20,100,NA,NA,NA,NA
"262",20,20,100,NA,NA,NA,NA
"263",40,20,100,NA,NA,NA,NA
"264",80,20,100,NA,NA,NA,NA
"265",100,20,100,NA,NA,NA,NA
"266",200,20,100,NA,NA,NA,NA
"267",5,40,100,NA,NA,NA,NA
"268",10,40,100,NA,NA,NA,NA
"269",20,40,100,NA,NA,NA,NA
"270",40,40,100,NA,NA,NA,NA
"271",80,40,100,NA,NA,NA,NA
"272",100,40,100,NA,NA,NA,NA
"273",200,40,100,NA,NA,NA,NA
"274",5,80,100,NA,NA,NA,NA
"275",10,80,100,NA,NA,NA,NA
"276",20,80,100,NA,NA,NA,NA
"277",40,80,100,NA,NA,NA,NA
"278",80,80,100,NA,NA,NA,NA
"279",100,80,100,NA,NA,NA,NA
"280",200,80,100,NA,NA,NA,NA
"281",5,100,100,NA,NA,NA,NA
"282",10,100,100,NA,NA,NA,NA
"283",20,100,100,NA,NA,NA,NA
"284",40,100,100,NA,NA,NA,NA
"285",80,100,100,NA,NA,NA,NA
"286",100,100,100,NA,NA,NA,NA
"287",200,100,100,NA,NA,NA,NA
"288",5,200,100,NA,NA,NA,NA
"289",10,200,100,NA,NA,NA,NA
"290",20,200,100,NA,NA,NA,NA
"291",40,200,100,NA,NA,NA,NA
"292",80,200,100,NA,NA,NA,NA
"293",100,200,100,NA,NA,NA,NA
"294",200,200,100,NA,NA,NA,NA
"295",5,5,200,NA,NA,NA,NA
"296",10,5,200,NA,NA,NA,NA
"297",20,5,200,NA,NA,NA,NA
"298",40,5,200,NA,NA,NA,NA
"299",80,5,200,NA,NA,NA,NA
"300",100,5,200,NA,NA,NA,NA
"301",200,5,200,NA,NA,NA,NA
"302",5,10,200,NA,NA,NA,NA
"303",10,10,200,NA,NA,NA,NA
"304",20,10,200,NA,NA,NA,NA
"305",40,10,200,NA,NA,NA,NA
"306",80,10,200,NA,NA,NA,NA
"307",100,10,200,NA,NA,NA,NA
"308",200,10,200,NA,NA,NA,NA
"309",5,20,200,NA,NA,NA,NA
"310",10,20,200,NA,NA,NA,NA
"311",20,20,200,NA,NA,NA,NA
"312",40,20,200,NA,NA,NA,NA
"313",80,20,200,NA,NA,NA,NA
"314",100,20,200,NA,NA,NA,NA
"315",200,20,200,NA,NA,NA,NA
"316",5,40,200,NA,NA,NA,NA
"317",10,40,200,NA,NA,NA,NA
"318",20,40,200,NA,NA,NA,NA
"319",40,40,200,NA,NA,NA,NA
"320",80,40,200,NA,NA,NA,NA
"321",100,40,200,NA,NA,NA,NA
"322",200,40,200,NA,NA,NA,NA
"323",5,80,200,NA,NA,NA,NA
"324",10,80,200,NA,NA,NA,NA
"325",20,80,200,NA,NA,NA,NA
"326",40,80,200,NA,NA,NA,NA
"327",80,80,200,NA,NA,NA,NA
"328",100,80,200,NA,NA,NA,NA
"329",200,80,200,NA,NA,NA,NA
"330",5,100,200,NA,NA,NA,NA
"331",10,100,200,NA,NA,NA,NA
"332",20,100,200,NA,NA,NA,NA
"333",40,100,200,NA,NA,NA,NA
"334",80,100,200,NA,NA,NA,NA
"335",100,100,200,NA,NA,NA,NA
"336",200,100,200,NA,NA,NA,NA
"337",5,200,200,NA,NA,NA,NA
"338",10,200,200,NA,NA,NA,NA
"339",20,200,200,NA,NA,NA,NA
"340",40,200,200,NA,NA,NA,NA
"341",80,200,200,NA,NA,NA,NA
"342",100,200,200,NA,NA,NA,NA
"343",200,200,200,NA,NA,NA,NA
